epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3785,1.44449,2.5742,1.29539,0.21857,0.3174,0.25756,0.15343,1.46356,1.91632,1.29731,0.000415152,0.000415152,0.000415152
2,59.6342,1.48187,2.07523,1.32678,0.47205,0.25685,0.25301,0.1488,1.49432,1.99735,1.34625,0.000823583,0.000823583,0.000823583
3,87.4038,1.48643,1.92091,1.35364,0.27237,0.37763,0.28661,0.16869,1.52012,1.75147,1.36591,0.00122376,0.00122376,0.00122376
4,114.791,1.47609,1.85066,1.35525,0.25001,0.28451,0.24768,0.14743,1.53795,1.9053,1.3758,0.00121287,0.00121287,0.00121287
5,143.037,1.44829,1.75773,1.33494,0.2973,0.38503,0.30297,0.18619,1.47816,1.77584,1.34774,0.0012005,0.0012005,0.0012005
6,170.304,1.43743,1.68768,1.32835,0.27817,0.3931,0.29568,0.1804,1.44608,1.64329,1.31535,0.00118812,0.00118812,0.00118812
7,197.428,1.4179,1.62434,1.31121,0.36263,0.38983,0.34555,0.2138,1.40101,1.48434,1.28746,0.00117575,0.00117575,0.00117575
8,224.627,1.40104,1.57504,1.29802,0.29241,0.43171,0.31345,0.19106,1.44272,1.67247,1.33507,0.00116337,0.00116337,0.00116337
9,251.816,1.38713,1.55093,1.29914,0.33286,0.37055,0.3318,0.19847,1.44869,1.67425,1.30821,0.001151,0.001151,0.001151
10,279.051,1.37522,1.50482,1.29066,0.36693,0.40925,0.37361,0.23243,1.42491,1.52749,1.29331,0.00113863,0.00113863,0.00113863
11,306.187,1.34282,1.4775,1.27436,0.36542,0.37507,0.36389,0.23122,1.40533,1.51812,1.29512,0.00112625,0.00112625,0.00112625
12,333.333,1.3444,1.45364,1.27155,0.38161,0.41303,0.37984,0.23898,1.37683,1.40247,1.26243,0.00111388,0.00111388,0.00111388
13,360.452,1.33246,1.40661,1.26436,0.45285,0.37316,0.4025,0.24756,1.38696,1.45935,1.29078,0.0011015,0.0011015,0.0011015
14,387.599,1.31507,1.37803,1.25866,0.46062,0.46172,0.42762,0.26758,1.37904,1.46685,1.2853,0.00108913,0.00108913,0.00108913
15,414.723,1.3213,1.35644,1.2591,0.45227,0.41159,0.42638,0.26005,1.37702,1.42721,1.2893,0.00107675,0.00107675,0.00107675
16,441.93,1.31417,1.33315,1.25211,0.53019,0.44831,0.46312,0.28884,1.37785,1.40914,1.27242,0.00106437,0.00106437,0.00106437
17,469.158,1.31169,1.3245,1.24305,0.56736,0.40874,0.44863,0.28187,1.36899,1.34473,1.25756,0.001052,0.001052,0.001052
18,496.345,1.26128,1.25594,1.21836,0.4303,0.46437,0.42283,0.2552,1.37372,1.38271,1.27875,0.00103962,0.00103962,0.00103962
19,523.5,1.27711,1.27759,1.23366,0.43421,0.44082,0.4232,0.26083,1.35611,1.37978,1.25312,0.00102725,0.00102725,0.00102725
20,550.649,1.28211,1.26129,1.22475,0.58945,0.40505,0.4756,0.30074,1.35378,1.3086,1.25184,0.00101488,0.00101488,0.00101488
21,577.881,1.25481,1.21473,1.2149,0.55472,0.42348,0.45296,0.28663,1.32174,1.34497,1.2305,0.0010025,0.0010025,0.0010025
22,605.056,1.26666,1.20467,1.22013,0.57657,0.40125,0.46916,0.29966,1.35317,1.32729,1.24771,0.000990125,0.000990125,0.000990125
23,632.177,1.25738,1.18962,1.20607,0.54601,0.44729,0.47595,0.29592,1.3477,1.32799,1.23141,0.00097775,0.00097775,0.00097775
24,659.316,1.23188,1.16528,1.2054,0.43454,0.501,0.45472,0.28096,1.33477,1.2748,1.24826,0.000965375,0.000965375,0.000965375
25,686.447,1.24582,1.17394,1.21304,0.51833,0.41647,0.47462,0.29689,1.36057,1.28101,1.25362,0.000953,0.000953,0.000953
26,713.563,1.22102,1.12231,1.19549,0.57609,0.43439,0.47219,0.29026,1.34097,1.39771,1.23969,0.000940625,0.000940625,0.000940625
27,740.727,1.22941,1.11216,1.19857,0.53818,0.48064,0.47102,0.29592,1.36417,1.32252,1.25289,0.00092825,0.00092825,0.00092825
28,767.885,1.21567,1.10396,1.19272,0.54598,0.46341,0.50901,0.33241,1.32631,1.26748,1.23443,0.000915875,0.000915875,0.000915875
29,795.025,1.20879,1.09635,1.19784,0.54847,0.45009,0.45764,0.28737,1.34741,1.30923,1.24695,0.0009035,0.0009035,0.0009035
30,822.224,1.20958,1.07989,1.18916,0.59024,0.49394,0.52246,0.33298,1.33281,1.23438,1.24309,0.000891125,0.000891125,0.000891125
31,849.367,1.20383,1.06743,1.18976,0.59912,0.47125,0.49343,0.31513,1.34314,1.27807,1.24976,0.00087875,0.00087875,0.00087875
32,876.551,1.20196,1.06272,1.18876,0.46762,0.4914,0.49002,0.31617,1.33332,1.25159,1.24672,0.000866375,0.000866375,0.000866375
33,903.653,1.19607,1.04301,1.18339,0.62451,0.44221,0.51243,0.3275,1.33579,1.24706,1.23228,0.000854,0.000854,0.000854
34,930.801,1.18756,1.02126,1.17072,0.51738,0.47421,0.51387,0.32343,1.35435,1.26408,1.24085,0.000841625,0.000841625,0.000841625
35,957.914,1.17271,1.00393,1.16516,0.59502,0.45216,0.50296,0.32443,1.32341,1.24158,1.23719,0.00082925,0.00082925,0.00082925
36,985.057,1.1649,0.99919,1.1641,0.58481,0.46454,0.50626,0.31428,1.30873,1.24224,1.23343,0.000816875,0.000816875,0.000816875
37,1012.25,1.17359,0.98701,1.17333,0.60697,0.51361,0.52595,0.32632,1.33364,1.24512,1.23377,0.0008045,0.0008045,0.0008045
38,1039.49,1.15312,0.95361,1.15757,0.58176,0.47342,0.48584,0.30779,1.3409,1.27693,1.23516,0.000792125,0.000792125,0.000792125
39,1066.69,1.15379,0.9676,1.16073,0.55938,0.46583,0.50991,0.32118,1.3293,1.2537,1.24152,0.00077975,0.00077975,0.00077975
40,1094,1.15095,0.948,1.15642,0.60152,0.50623,0.52627,0.33009,1.33161,1.22914,1.22834,0.000767375,0.000767375,0.000767375
41,1121.21,1.1327,0.92259,1.14695,0.6374,0.46275,0.50628,0.32084,1.29974,1.29505,1.22827,0.000755,0.000755,0.000755
42,1148.45,1.12665,0.91481,1.14252,0.63562,0.44586,0.52167,0.33497,1.32857,1.29205,1.23361,0.000742625,0.000742625,0.000742625
43,1175.61,1.13125,0.91249,1.14674,0.639,0.45726,0.52665,0.34349,1.30529,1.23996,1.22159,0.00073025,0.00073025,0.00073025
44,1202.77,1.12417,0.90187,1.1372,0.64954,0.46126,0.50653,0.32343,1.31055,1.24022,1.22092,0.000717875,0.000717875,0.000717875
45,1229.89,1.12257,0.88811,1.13609,0.67379,0.44803,0.51059,0.32808,1.32325,1.26292,1.22919,0.0007055,0.0007055,0.0007055
46,1257.02,1.11782,0.88177,1.14267,0.61803,0.47737,0.50564,0.32433,1.32525,1.28951,1.23711,0.000693125,0.000693125,0.000693125
